Rank,Name,Rank_Again,Symbol,Price,24h,7d,Market Cap,Volume USD,Volume Units,Circulating Supply,price,market_cap,volume_usd
,AMATEN,,AMA,$0.030154,0.03%,-24.51%,,,,,0.030154,,
,Coinsuper Ecosystem Network,,CEN,$0.000634,-0.73%,81.85%,,,,,0.000634,,
,Semux,,SEM,$0.017692,4.40%,3.71%,,,,,0.017692,,
,UpToken,,UP,$0.001531,8.43%,17.37%,,,,,0.001531,,
,Bidesk,,BDK,$0.028170,-0.53%,2.99%,,,,,0.02817,,
,MorCrypto Coin,,MOR,$0.010545,8.93%,5.55%,,,,,0.010545,,
,HelloGold,,HGT,$0.000841,35.71%,-11.07%,,,,,0.000841,,
,SwiftCash,,SWIFT,$0.001335,-14.89%,-2.94%,,,,,0.001335,,
,PoSW Coin,,POSW,$0.005007,59.58%,81.99%,,,,,0.005007,,
,Trinity Network Credit,,TNC,$0.000662,2.16%,-6.56%,,,,,0.000662,,
,Kora Network Token,,KNT,$0.000651,17.98%,37.48%,,,,,0.000651,,
,Proton Token,,PTT,$0.000026,-16.37%,-0.82%,,,,,2.6e-05,,
,ION,,ION,$0.015689,117.40%,42.11%,,,,,0.015689,,
,Scorum Coins,,SCR,$0.007315,-15.64%,-0.24%,,,,,0.007315,,
,MesChain,,MES,$0.000279,3.59%,31.72%,,,,,0.000279,,
,LunchMoney,,LMY,$0.002719,18.18%,40.92%,,,,,0.002719,,
,BillionHappiness,,BHC,$7.76,9.04%,510.29%,,,,,7.76,,
,RefToken,,REF,$0.212077,5.17%,9.44%,,,,,0.212077,,
,Gems ,,GEM,$0.000178,0.44%,11.57%,,,,,0.000178,,
,RightMesh,,RMESH,$0.002990,5.17%,9.44%,,,,,0.00299,,
,CoinFi,,COFI,$0.000982,11.50%,10.28%,,,,,0.000982,,
,Rublix,,RBLX,$0.010008,1.24%,13.73%,,,,,0.010008,,
,Gatherer,,GTHR,$0.016675,9.35%,26.15%,,,,,0.016675,,
,GoByte,,GBX,$0.022863,4.49%,5.40%,,,,,0.022863,,
,Emphy,,EPY,$0.026354,5.17%,9.44%,,,,,0.026354,,
,SHAKE,,SHAKE,$366.88,17.81%,54.89%,,,,,366.88,,
,Rotten,,ROT,$0.004208,16.92%,-12.96%,,,,,0.004208,,
,Lisk Machine Learning,,LML,$0.001715,-28.26%,-12.27%,,,,,0.001715,,
,HorusPay,,HORUS,$0.000235,5.44%,-22.72%,,,,,0.000235,,
,Nasdacoin,,NSD,$0.010817,-13.75%,-28.06%,,,,,0.010817,,
,Bounty0x,,BNTY,$0.000877,4.73%,7.09%,,,,,0.000877,,
,Sentinel Chain,,SENC,$0.001003,-2.36%,-1.30%,,,,,0.001003,,
,Bezop,,BEZ,$0.003640,5.38%,4.18%,,,,,0.00364,,
,Cubiex,,CBIX,$0.002789,-23.80%,4.17%,,,,,0.002789,,
,Playkey,,PKT,$0.013386,25.89%,86.77%,,,,,0.013386,,
,Leadcoin,,LDC,$0.000257,1.83%,4.50%,,,,,0.000257,,
,Masari,,MSR,$0.014020,8.92%,-23.92%,,,,,0.01402,,
,LIFE,,LIFE,$0.000002,5.17%,9.44%,,,,,2e-06,,
,MAX Exchange Token,,MAX,$0.112277,4.70%,-8.13%,,,,,0.112277,,
,Memetic / PepeCoin,,MEME,$0.006685,-3.15%,-13.50%,,,,,0.006685,,
,Trollcoin,,TROLL,$0.000334,6.33%,-39.37%,,,,,0.000334,,
,ChartEx,,CHART,$0.009932,-11.02%,-16.86%,,,,,0.009932,,
,imbrex,,REX,$0.022705,-1.55%,-44.35%,,,,,0.022705,,
,Storiqa,,STQ,$0.000018,18.22%,37.75%,,,,,1.8e-05,,
,Startcoin,,START,$0.004339,-39.87%,-21.41%,,,,,0.004339,,
,Pesetacoin,,PTC,$0.001370,-45.40%,-37.15%,,,,,0.00137,,
,MalwareChain,,MALW,$0.036995,6.66%,21.85%,,,,,0.036995,,
,Helix,,HLIX,$0.006314,49.99%,4.31%,,,,,0.006314,,
,CryptoVerificationCoin,,CVCC,$0.334250,-45.84%,-40.07%,,,,,0.33425,,
,RealTract,,RET,$0.000018,100.00%,-42.78%,,,,,1.8e-05,,
,Donu,,DONU,$0.038105,6.53%,77.56%,,,,,0.038105,,
,Noir,,NOR,$0.009378,-61.97%,-58.43%,,,,,0.009378,,
,IGToken,,IG,$0.000044,45.39%,38.43%,,,,,4.4e-05,,
,BlueCoin,,BLU,$0.000334,6.53%,21.11%,,,,,0.000334,,
,FedoraCoin,,TIPS,$0.000001,-40.90%,37.70%,,,,,1e-06,,
,Ether Zero,,ETZ,$0.001085,-0.89%,1.71%,,,,,0.001085,,
,Vodi X,,VDX,$0.000354,-60.28%,-35.58%,,,,,0.000354,,
,Bitether,,BTR,$0.003343,6.53%,21.49%,,,,,0.003343,,
,Bitcoin Zero,,BZX,$0.006509,129.62%,195.59%,,,,,0.006509,,
,Giant,,GIC,$0.021272,120.09%,155.17%,,,,,0.021272,,
,Swing,,SWING,$0.037436,1.98%,14.92%,,,,,0.037436,,
,Decentralized Machine Learning,,DML,$0.000687,18.00%,38.39%,,,,,0.000687,,
,Actinium,,ACM,$0.006509,2.04%,-7.23%,,,,,0.006509,,
,Zippie,,ZIPT,$0.000693,5.58%,9.08%,,,,,0.000693,,
,Opus,,OPT,$0.001332,44.86%,59.26%,,,,,0.001332,,
,SRCOIN,,SRCOIN,$0.000037,6.33%,109.39%,,,,,3.7e-05,,
,Yocoin,,YOC,$0.000501,7.73%,-3.40%,,,,,0.000501,,
,Voise,,VOISE,$0.000334,-96.39%,-95.89%,,,,,0.000334,,
,IQ.cash,,IQ,$0.012995,-11.17%,-29.50%,,,,,0.012995,,
,Silent Notary,,SNTR,$0.000002,17.98%,37.48%,,,,,2e-06,,
,Sociall,,SCL,$0.010675,6.33%,-6.68%,,,,,0.010675,,
,Rebased,,REB2,$1.19,9.69%,19.00%,,,,,1.19,,
,Bitstar,,BITS,$0.008345,-1.49%,-31.28%,,,,,0.008345,,
,Matrexcoin,,MAC,$0.008014,-0.85%,-1.52%,,,,,0.008014,,
,2GIVE,,2GIVE,$0.000334,6.37%,21.32%,,,,,0.000334,,
1801,TEAM (TokenStars),1801,TEAM,$0.014605,5.71%,20.08%,"$175,821","$3,974","272,063 TEAM","12,038,263 TEAM",0.014605,175821.0,3974.0
1802,Utrum,1802,OOT,$0.002704,18.39%,37.48%,"$175,196",$34,"12,592 OOT","64,800,139 OOT",0.002704,175196.0,34.0
1803,QUINADS,1803,QUIN,$0.000013,18.22%,37.75%,"$176,462",$0,0 QUIN,"13,294,999,111 QUIN",1.3e-05,176462.0,0.0
1804,Fera,1804,FERA,$0.000946,5.33%,70.77%,"$175,942","$6,626","7,002,234 FERA","185,933,016 FERA",0.000946,175942.0,6626.0
1805,BitStash,1805,STASH,$0.000062,5.17%,9.44%,"$176,362",$0,0 STASH,"2,831,596,769 STASH",6.2e-05,176362.0,0.0
1806,DeVault,1806,DVT,$0.000534,10.46%,3.00%,"$174,343",$591,"1,107,002 DVT","326,629,936 DVT",0.000534,174343.0,591.0
1807,Blocktix,1807,TIX,$0.004337,48.80%,56.22%,"$173,473",$37,"8,574 TIX","40,000,000 TIX",0.004337,173473.0,37.0
1808,Neutron,1808,NTRN,$0.004440,0.00%,53.68%,"$173,684",$0,17 NTRN,"39,121,694 NTRN",0.00444,173684.0,0.0
1809,MODEL-X-coin,1809,MODX,$0.014354,6.39%,21.32%,"$172,973",$0,0 MODX,"12,050,832 MODX",0.014354,172973.0,0.0
1810,Profile Utility Token,1810,PUT,$0.003815,16.02%,53.47%,"$172,764",$30,"7,824 PUT","45,289,804 PUT",0.003815,172764.0,30.0
,SHIELD,,XSH,$0.000334,6.49%,20.94%,,,,,0.000334,,
,BiblePay,,BBP,$0.000067,75.29%,-15.34%,,,,,6.7e-05,,
,Decentralized Crypto Token,,DCTO,$0.000171,6.59%,21.63%,,,,,0.000171,,
,Zeepin,,ZPT,$0.000341,7.03%,7.81%,,,,,0.000341,,
,eBoost,,EBST,$0.001694,43.43%,26.52%,,,,,0.001694,,
,OptiToken,,OPTI,$0.005675,20.57%,3.13%,,,,,0.005675,,
,MoonTools,,MOONS,$6.08,6.55%,8.91%,,,,,6.08,,
,1Million Token,,1MT,$0.200385,-30.45%,-51.57%,,,,,0.200385,,
,Kobocoin,,KOBO,$0.006676,-7.50%,5.55%,,,,,0.006676,,
,AC3,,AC3,$0.000334,6.33%,21.31%,,,,,0.000334,,
,Bitcoin Token,,BTCT,$0.013532,96.75%,111.99%,,,,,0.013532,,
,Commercium,,CMM,$0.003671,17.02%,27.25%,,,,,0.003671,,
,BlitzPredict,,XBP,$0.000427,-3.03%,-39.37%,,,,,0.000427,,
,PDATA,,PDATA,$0.000334,6.37%,0.00%,,,,,0.000334,,
,KIMCHI.finance,,KIMCHI,$0.000201,9.75%,3.72%,,,,,0.000201,,
,TrueDeck,,TDP,$0.005220,5.26%,43.86%,,,,,0.00522,,
,Escroco Emerald,,ESCE,$0.000176,6.91%,1237.58%,,,,,0.000176,,
,AtromG8,,AG8,$0.012572,-4.97%,-19.96%,,,,,0.012572,,
,BitCash,,BITC,$0.006626,-12.06%,-17.73%,,,,,0.006626,,
,Defis,,XGM,$0.001168,227.24%,186.33%,,,,,0.001168,,
,PluraCoin,,PLURA,$0.000334,6.53%,21.11%,,,,,0.000334,,
,Swap,,XWP,$0.012958,26.64%,28.17%,,,,,0.012958,,
,DopeCoin,,DOPE,$0.001337,42.04%,-39.45%,,,,,0.001337,,
,Maecenas,,ART,$0.002220,-48.35%,61.03%,,,,,0.00222,,
,PopularCoin,,POP,$0.000037,20.23%,32.19%,,,,,3.7e-05,,
,CoinUs,,CNUS,$0.000452,-10.29%,-58.04%,,,,,0.000452,,
,BetterBetting,,BETR,$0.000539,5.58%,9.08%,,,,,0.000539,,
,Metric,,METRIC,$0.313255,-5.75%,30.13%,,,,,0.313255,,
,PAYCENT,,PYN,$0.001795,44.85%,-10.55%,,,,,0.001795,,
,View,,VIEW,$0.004339,6.37%,20.94%,,,,,0.004339,,
,Ritocoin,,RITO,$0.000099,-13.50%,-24.39%,,,,,9.9e-05,,
,WIZBL,,WBL,$0.001001,6.37%,-39.34%,,,,,0.001001,,
,Centric Cash,,CNS,$0.000195,-1.16%,5.73%,,,,,0.000195,,
,Energo,,TSL,$0.000257,4.06%,6.58%,,,,,0.000257,,
,AAX Token,,AAB,$0.043077,-1.34%,1.74%,,,,,0.043077,,
,HollyWoodCoin,,HWC,$0.006342,6.37%,21.32%,,,,,0.006342,,
,Bitcoin Free Cash,,BFC,$0.057803,16.37%,15.31%,,,,,0.057803,,
,Zilla,,ZLA,$0.002480,-2.30%,-2.34%,,,,,0.00248,,
,Graft,,GRFT,$0.000250,-20.21%,-9.01%,,,,,0.00025,,
,KanadeCoin,,KNDC,$0.000027,253.95%,106.22%,,,,,2.7e-05,,
,Signals Network,,SGN,$0.001661,5.17%,9.44%,,,,,0.001661,,
,Zetacoin,,ZET,$0.000601,-16.74%,-16.01%,,,,,0.000601,,
,Alchemint Standards,,SDS,$0.000453,18.22%,-13.68%,,,,,0.000453,,
,The Currency Analytics,,TCAT,$0.001058,17.98%,37.48%,,,,,0.001058,,
,MyBit,,MYB,$0.000909,-17.11%,-17.27%,,,,,0.000909,,
,Feellike,,FLL,$0.080143,0.03%,0.32%,,,,,0.080143,,
,CROAT,,CROAT,$0.001669,-11.34%,21.32%,,,,,0.001669,,
,ParallelCoin,,DUO,$0.447461,6.18%,21.37%,,,,,0.447461,,
,Vidulum,,VDL,$0.019077,-14.39%,-2.71%,,,,,0.019077,,
,Vanilla Network,,VNLA,$0.239571,13.07%,37.20%,,,,,0.239571,,
,Sharpay,,S,$0.000118,17.96%,37.48%,,,,,0.000118,,
,Skychain,,SKCH,$0.018693,6.39%,21.32%,,,,,0.018693,,
,CommunityGeneration,,CGEN,$0.000334,6.37%,21.32%,,,,,0.000334,,
,TrumpCoin,,TRUMP,$0.021058,103.38%,118.67%,,,,,0.021058,,
,Cobinhood,,COB,$0.000334,6.33%,-39.34%,,,,,0.000334,,
,Vanta Network,,VANTA,$0.000075,5.17%,9.44%,,,,,7.5e-05,,
,Sparkle Loyalty,,SPRKL,$0.014354,-36.46%,-52.52%,,,,,0.014354,,
,Agora,,VOTE,$0.003630,-43.62%,-38.03%,,,,,0.00363,,
,Cryptojacks,,CJ,$0.000334,6.39%,21.32%,,,,,0.000334,,
,FirstCoin,,FRST,$0.004339,6.37%,21.32%,,,,,0.004339,,
,BZEdge,,BZE,$0.000045,-74.32%,14.53%,,,,,4.5e-05,,
,Zeusshield,,ZSC,$0.000116,-15.48%,-15.12%,,,,,0.000116,,
,InvestDigital,,IDT,$0.001622,-20.87%,-20.63%,,,,,0.001622,,
,Bitgesell,,BGL,$0.017052,6.52%,21.52%,,,,,0.017052,,
,MTC Mesh Network,,MTC,$0.000344,17.96%,37.48%,,,,,0.000344,,
,ALL BEST ICO,,ALLBI,$0.000417,-91.10%,-95.53%,,,,,0.000417,,
,Rimbit,,RBT,$0.000667,6.33%,21.31%,,,,,0.000667,,
,Bolivarcoin,,BOLI,$0.008712,6.80%,-12.28%,,,,,0.008712,,
,DEEX,,DEEX,$0.002337,6.39%,-29.23%,,,,,0.002337,,
,Qbao,,QBT,$0.001996,-5.01%,-22.68%,,,,,0.001996,,
,BonFi,,BNF,$0.000903,17.67%,-1.04%,,,,,0.000903,,
,Artis Turba,,ARTIS,$0.004448,2.55%,8.82%,,,,,0.004448,,
,JustBet,,WINR,$0.000135,1.94%,15.93%,,,,,0.000135,,
,Bitzeny,,ZNY,$0.001668,6.33%,-24.18%,,,,,0.001668,,
,PEPS Coin,,PEPS,$0.003038,-14.37%,-21.04%,,,,,0.003038,,
,Advanced Technology Coin,,ARC,$0.004339,176.61%,215.44%,,,,,0.004339,,
,InsaneCoin,,INSN,$0.005007,6.37%,20.94%,,,,,0.005007,,
,OSA Token,,OSA,$0.000090,14.90%,48.90%,,,,,9e-05,,
,Eroscoin,,ERO,$0.000668,6.37%,21.32%,,,,,0.000668,,
,Motocoin,,MOTO,$0.006342,6.37%,-3.95%,,,,,0.006342,,
,Phoneum,,PHT,$0.000150,-3.20%,-4.52%,,,,,0.00015,,
,EtherInc,,ETI,$0.000389,6.37%,21.32%,,,,,0.000389,,
,AquariusCoin,,ARCO,$0.038439,-51.36%,4.26%,,,,,0.038439,,
,Aeron,,ARNX,$0.006223,10.63%,-8.69%,,,,,0.006223,,
,TCASH,,TCASH,$0.003482,17.22%,29.17%,,,,,0.003482,,
,Ratecoin,,XRA,$0.001001,59.56%,0.00%,,,,,0.001001,,
,FLUX,,FLUX,$0.485211,3.25%,5.25%,,,,,0.485211,,
,AiLink Token,,ALI,$0.000023,19.61%,21.98%,,,,,2.3e-05,,
,MESEFA,,SEFA,$0.279499,-0.68%,-3.16%,,,,,0.279499,,
,Worldcore,,WRC,$0.000668,6.39%,-19.37%,,,,,0.000668,,
101,CyberVein,101,CVT,$0.116550,2.69%,2.19%,"$123,590,388","$6,249,034","53,616,661 CVT","1,060,404,496 CVT",0.11655,123590388.0,6249034.0
102,Status,102,SNT,$0.034577,11.14%,13.21%,"$119,997,353","$16,879,400","488,174,798 SNT","3,470,483,788 SNT",0.034577,119997353.0,16879400.0
103,Decentraland,103,MANA,$0.080193,0.39%,1.06%,"$118,987,671","$19,743,813","246,204,782 MANA","1,483,772,848 MANA",0.080193,118987671.0,19743813.0
104,Gnosis,104,GNO,$76.04,0.80%,12.51%,"$114,412,235","$1,202,376","15,812 GNO","1,504,589 GNO",76.04,114412235.0,1202376.0
105,Ravencoin,105,RVN,$0.014331,12.11%,8.98%,"$112,222,164","$18,831,053","1,314,049,749 RVN","7,830,975,000 RVN",0.014331,112222164.0,18831053.0
106,Enjin Coin,106,ENJ,$0.135718,1.84%,2.18%,"$111,713,943","$12,196,848","89,868,785 ENJ","823,130,411 ENJ",0.135718,111713943.0,12196848.0
107,Balancer,107,BAL,$15.82,8.68%,28.69%,"$109,838,260","$63,639,580","4,023,211 BAL","6,943,831 BAL",15.82,109838260.0,63639580.0
108,RSK Infrastructure Framework,108,RIF,$0.159783,1.46%,0.67%,"$108,289,391","$2,740,505","17,151,390 RIF","677,726,677 RIF",0.159783,108289391.0,2740505.0
109,Chiliz,109,CHZ,$0.018842,5.02%,14.84%,"$102,306,595","$63,885,279","3,390,527,748 CHZ","5,429,628,749 CHZ",0.018842,102306595.0,63885279.0
110,Numeraire,110,NMR,$22.41,1.87%,3.15%,"$100,070,359","$9,972,669","445,031 NMR","4,465,650 NMR",22.41,100070359.0,9972669.0
,Curve DAO Token,,CRV,$0.628435,4.62%,34.31%,,,,,0.628435,,
,Solana,,SOL,$2.07,15.10%,55.29%,,,,,2.07,,
,Matic Network,,MATIC,$0.019913,8.01%,7.35%,,,,,0.019913,,
,MonaCoin,,MONA,$1.43,5.17%,3.26%,,,,,1.43,,
,Bitcoin Diamond,,BCD,$0.503290,-0.20%,5.10%,,,,,0.50329,,
,Nervos Network,,CKB,$0.003974,-0.76%,0.66%,,,,,0.003974,,
,DxChain Token,,DX,$0.001821,5.20%,36.22%,,,,,0.001821,,
,IOST,,IOST,$0.005694,0.87%,-2.92%,,,,,0.005694,,
,Kin,,KIN,$0.000058,3.49%,-1.64%,,,,,5.8e-05,,
,Arweave,,AR,$2.54,-6.57%,11.52%,,,,,2.54,,
,Helium,,HNT,$1.31,-2.62%,-7.94%,,,,,1.31,,
,Orchid,,OXT,$0.226543,-2.62%,-6.46%,,,,,0.226543,,
,Bytom,,BTM,$0.059269,2.80%,8.09%,,,,,0.059269,,
,1inch,,1INCH,$1.10,-0.35%,-8.21%,,,,,1.1,,
,Unibright,,UBT,$0.525398,11.63%,12.41%,,,,,0.525398,,
,PAX Gold,,PAXG,$1957.16,0.57%,1.29%,,,,,1957.16,,
,BitShares,,BTS,$0.025413,12.29%,12.69%,,,,,0.025413,,
,Ardor,,ARDR,$0.076232,-0.80%,12.67%,,,,,0.076232,,
,Kleros,,PNK,$0.122708,9.70%,13.12%,,,,,0.122708,,
,Divi,,DIVI,$0.033493,-5.13%,30.43%,,,,,0.033493,,
,Syntropy,,NOIA,$0.215928,15.45%,-2.53%,,,,,0.215928,,
,Golem,,GNT,$0.107366,-1.08%,-0.88%,,,,,0.107366,,
,Swipe,,SXP,$0.805230,13.27%,18.14%,,,,,0.80523,,
,Storj,,STORJ,$0.311160,6.74%,4.49%,,,,,0.31116,,
,Velas,,VLX,$0.031117,4.70%,34.89%,,,,,0.031117,,
,Oasis Network,,ROSE,$0.043056,4.53%,2.69%,,,,,0.043056,,
,Steem,,STEEM,$0.161773,-2.48%,1.33%,,,,,0.161773,,
,TomoChain,,TOMO,$0.827177,25.86%,19.62%,,,,,0.827177,,
,Utrust,,UTK,$0.138936,13.73%,24.87%,,,,,0.138936,,
,Injective Protocol,,INJ,$4.15,8.54%,-12.10%,,,,,4.15,,
,iExec RLC,,RLC,$0.774837,4.52%,2.55%,,,,,0.774837,,
,Kava.io,,KAVA,$1.32,2.52%,1.21%,,,,,1.32,,
,DFI.Money,,YFII,$1561.06,1.15%,15.69%,,,,,1561.06,,
,OriginTrail,,TRAC,$0.176641,14.55%,-3.40%,,,,,0.176641,,
,Komodo,,KMD,$0.483090,-2.51%,-8.89%,,,,,0.48309,,
,Civic,,CVC,$0.088496,3.12%,0.21%,,,,,0.088496,,
,aelf,,ELF,$0.105716,-2.86%,-1.82%,,,,,0.105716,,
,Serum,,SRM,$1.15,6.60%,18.09%,,,,,1.15,,
,Uquid Coin,,UQC,$5.69,17.45%,95.03%,,,,,5.69,,
,KuCoin Shares,,KCS,$0.703041,2.50%,2.05%,,,,,0.703041,,
,Ankr,,ANKR,$0.008620,-0.86%,-6.22%,,,,,0.00862,,
,JUST,,JST,$0.023940,2.56%,6.01%,,,,,0.02394,,
,TrustSwap,,SWAP,$0.759780,30.71%,69.64%,,,,,0.75978,,
,Polymath,,POLY,$0.096772,7.77%,15.74%,,,,,0.096772,,
,LBRY Credits,,LBC,$0.102997,5.67%,76.93%,,,,,0.102997,,
,WAX,,WAXP,$0.035889,-5.34%,-2.76%,,,,,0.035889,,
,Wanchain,,WAN,$0.304921,-1.07%,-11.60%,,,,,0.304921,,
,Hive,,HIVE,$0.115365,-1.87%,1.76%,,,,,0.115365,,
,Alpha Finance Lab,,ALPHA,$0.281876,24.81%,73.23%,,,,,0.281876,,
,Energi,,NRG,$1.31,-0.01%,-15.89%,,,,,1.31,,
,Electroneum,,ETN,$0.004593,-2.86%,-9.40%,,,,,0.004593,,
,Everipedia,,IQ,$0.004681,-11.93%,83.04%,,,,,0.004681,,
,Ark,,ARK,$0.367709,-3.36%,-0.74%,,,,,0.367709,,
,SingularityNET,,AGI,$0.054293,0.33%,16.62%,,,,,0.054293,,
,Keep3rV1,,KP3R,$233.78,10.49%,-22.65%,,,,,233.78,,
,Fantom,,FTM,$0.018021,7.75%,7.31%,,,,,0.018021,,
,The Midas Touch Gold,,TMTG,$0.005571,-7.06%,-20.31%,,,,,0.005571,,
,Stratis,,STRAX,$0.445318,-3.64%,-5.71%,,,,,0.445318,,
,Nexalt,,XLT,$2.24,5.96%,75.62%,,,,,2.24,,
,FunFair,,FUN,$0.006522,6.89%,78.44%,,,,,0.006522,,
,Pundi X,,NPXS,$0.000180,0.11%,-0.43%,,,,,0.00018,,
,ShareToken,,SHR,$0.020350,-4.46%,-1.64%,,,,,0.02035,,
,Haven Protocol,,XHV,$2.94,-4.18%,-2.07%,,,,,2.94,,
,Power Ledger,,POWR,$0.096096,-1.09%,-1.60%,,,,,0.096096,,
,Fetch.ai,,FET,$0.054572,1.64%,8.73%,,,,,0.054572,,
,ReddCoin,,RDD,$0.001377,9.41%,25.08%,,,,,0.001377,,
,AdEx Network,,ADX,$0.348825,-0.90%,15.70%,,,,,0.348825,,
,Syscoin,,SYS,$0.065015,-1.02%,15.78%,,,,,0.065015,,
,STASIS EURO,,EURS,$1.21,-0.91%,0.11%,,,,,1.21,,
,Melon,,MLN,$25.98,-0.00%,-4.12%,,,,,25.98,,
,IoTeX,,IOTX,$0.006663,-1.63%,-3.75%,,,,,0.006663,,
,Harmony,,ONE,$0.004611,7.38%,-4.12%,,,,,0.004611,,
,MCO,,MCO,$2.35,-3.04%,-9.48%,,,,,2.35,,
,GateToken,,GT,$0.505385,-1.20%,16.81%,,,,,0.505385,,
,Handshake ,,HNS,$0.105999,-4.79%,8.22%,,,,,0.105999,,
,Nimiq,,NIM,$0.005141,13.95%,105.45%,,,,,0.005141,,
,QuarkChain,,QKC,$0.005709,0.83%,7.44%,,,,,0.005709,,
,LTO Network,,LTO,$0.132744,1.95%,33.68%,,,,,0.132744,,
,Travala.com,,AVA,$0.772445,1.20%,1.59%,,,,,0.772445,,
,DIA,,DIA,$1.24,5.36%,9.54%,,,,,1.24,,
,IRISnet,,IRIS,$0.037475,-0.32%,1.04%,,,,,0.037475,,
,SOLVE,,SOLVE,$0.089317,-6.73%,-2.32%,,,,,0.089317,,
,Firo,,XZC,$2.90,-3.22%,-20.85%,,,,,2.9,,
,Populous,,PPT,$0.610381,21.95%,28.76%,,,,,0.610381,,
,Aion,,AION,$0.065431,2.85%,-3.50%,,,,,0.065431,,
,Voyager Token,,VGX,$0.138745,-10.89%,-4.94%,,,,,0.138745,,
,Super Zero Protocol,,SERO,$0.102355,-0.90%,-0.78%,,,,,0.102355,,
,Hxro,,HXRO,$0.173239,3.07%,-5.21%,,,,,0.173239,,
,Ultra,,UOS,$0.108774,-5.12%,-17.48%,,,,,0.108774,,
,Loki,,LOKI,$0.583153,4.56%,-0.34%,,,,,0.583153,,
1901,PHI Token,1901,PHI,$0.020350,6.33%,21.31%,"$118,604",$0,0 PHI,"5,828,254 PHI",0.02035,118604.0,0.0
1902,Seal Finance,1902,SEAL,$34.09,17.88%,39.20%,"$118,824",$0,0 SEAL,"3,486 SEAL",34.09,118824.0,0.0
1903,BlockCAT,1903,CAT,$0.016194,5.17%,9.44%,"$119,188",$0,0 CAT,"7,360,121 CAT",0.016194,119188.0,0.0
1904,KekCoin,1904,KEK,$0.011009,0.26%,185.95%,"$117,975",$32,"2,890 KEK","10,716,385 KEK",0.011009,117975.0,32.0
1905,TerraCredit,1905,CREDIT,$0.001264,12.72%,0.67%,"$120,166","$219,746","173,877,665 CREDIT","95,083,315 CREDIT",0.001264,120166.0,219746.0
1906,Aditus,1906,ADI,$0.000504,19.34%,49.71%,"$117,929","$49,751","98,765,367 ADI","234,110,888 ADI",0.000504,117929.0,49751.0
1907,Netkoin,1907,NTK,$0.000023,25.04%,5.51%,"$108,424",$1,"32,750 NTK","4,640,173,916 NTK",2.3e-05,108424.0,1.0
1908,Bitcloud,1908,BTDX,$0.003338,6.39%,10.29%,"$118,203",$11,"3,355 BTDX","35,411,004 BTDX",0.003338,118203.0,11.0
1909,BitCoen,1909,BEN,$0.016690,4.30%,18.94%,"$116,831","$1,661","99,547 BEN","7,000,000 BEN",0.01669,116831.0,1661.0
1910,TENA,1910,TENA,$0.056747,13.02%,58.65%,"$152,224",$562,"9,896 TENA","2,682,526 TENA",0.056747,152224.0,562.0
,Mainstream For The Underground,,MFTU,$0.000109,7.18%,27.11%,,,,,0.000109,,
,SteepCoin,,STEEP,$0.000638,103.44%,-3.30%,,,,,0.000638,,
,PiplCoin,,PIPL,$0.000669,6.53%,-19.28%,,,,,0.000669,,
,Eristica,,ERT,$0.000669,6.53%,21.11%,,,,,0.000669,,
,Bitradio,,BRO,$0.012008,4.44%,21.23%,,,,,0.012008,,
,GoNetwork,,GOT,$0.001595,25.14%,-30.34%,,,,,0.001595,,
,LALA World,,LALA,$0.000457,5.17%,9.44%,,,,,0.000457,,
,GoldFund,,GFUN,$0.000731,297.26%,164.95%,,,,,0.000731,,
,TagCoin,,TAG,$0.017381,8.60%,23.87%,,,,,0.017381,,
,ProxyNode,,PRX,$0.000620,146.93%,18.36%,,,,,0.00062,,
,Adelphoi,,ADL,$0.005349,6.58%,21.59%,,,,,0.005349,,
,yTSLA Finance,,yTSLA,$1.56,4.75%,-19.05%,,,,,1.56,,
,MidasProtocol,,MAS,$0.000549,-49.91%,-18.77%,,,,,0.000549,,
,Phoenixcoin,,PXC,$0.001335,-73.40%,-81.41%,,,,,0.001335,,
,Inex Project,,INEX,$0.000011,42.31%,65.94%,,,,,1.1e-05,,
,Scanetchain,,SWC,$0.000127,6.39%,7.22%,,,,,0.000127,,
,Opal,,OPAL,$0.007010,11.69%,59.32%,,,,,0.00701,,
,Universe,,UNI,$0.001188,5.79%,8.79%,,,,,0.001188,,
,XcelToken Plus,,XLAB,$0.000005,7.78%,4.30%,,,,,5e-06,,
,DABANKING,,DAB,$0.017156,-17.65%,0.40%,,,,,0.017156,,
,Pyrk,,PYRK,$0.007031,5.64%,-62.81%,,,,,0.007031,,
,Eternity,,ENT,$0.011365,24.90%,37.68%,,,,,0.011365,,
,RealChain,,RCT,$0.000199,4.03%,-26.04%,,,,,0.000199,,
,EnterCoin,,ENTRC,$0.017681,70.78%,114.32%,,,,,0.017681,,
,ZPER,,ZPR,$0.000080,20.43%,-55.76%,,,,,8e-05,,
,PolypuX,,PUX,$0.002511,6.93%,14.29%,,,,,0.002511,,
,Bitcoin Incognito,,XBI,$0.007951,-4.93%,-6.99%,,,,,0.007951,,
,Taklimakan Network,,TAN,$0.002206,-3.72%,13.01%,,,,,0.002206,,
,HeroNode,,HER,$0.000091,11.14%,25.17%,,,,,9.1e-05,,
,Zuflo Coin,,ZFL,$0.001822,60.40%,71.38%,,,,,0.001822,,
,BitSend,,BSD,$0.003331,-6.42%,50.88%,,,,,0.003331,,
